question_id,question,expected_answer,expected_context,expected_source_ids,question_type,difficulty,best_kb_layer
q015,How do the logistical efficiency and consumer spending habits in the state of Acre compare to the overall performance benchmarks recorded in June 2018?,"The state of Acre demonstrates significantly lower logistical efficiency, with an average delivery time of 21.04 days and a late rate of 3.75%, which are both much higher than the June 2018 averages of 9.24 days and 1.16%. Despite these delays, Acre shows higher purchasing power with an average payment value of 242.97 compared to the monthly average of 166.03, while also favoring the 'sports_leisure' category over the month's top category of 'health_beauty'.","[""Document Type: Month-Level Temporal Summary\nPurchase Month: 2018-06\nMonth Name: June 2018\n\nTotal Orders: 6,167\nDelivered Orders: 6,096\nCanceled Orders: 18\n\nLate Delivery Count: 71\nEarly or On-Time Delivery Count: 6,025\nLate Delivery Rate: 1.16%\nAverage Delivery Days: 9.24\n\nTotal Payment Value: 1023880.50\nAverage Payment Value: 166.03\nAverage Freight Value: 22.26\n\nAverage Review Score: 4.28\nNegative Review Count: 662\n\nMost Popular Product Category: health_beauty\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises monthly e-commerce fulfilment, revenue, delivery, and review performance."", ""Document Type: Customer-State Summary\nCustomer State: AC\n\nTotal Orders: 81\nUnique Customers: 77\nTotal Payment Value: 19680.62\nAverage Payment Value: 242.97\n\nAverage Review Score: 4.05\nPositive Review Count: 60\nNegative Review Count: 13\n\nLate Delivery Count: 3\nLate Delivery Rate: 3.75%\nAverage Delivery Days: 21.04\n\nTop Product Category: sports_leisure\nTop Payment Type: credit_card\n\nThis document summarises order volume, payment value, delivery performance, and review behaviour for customers in AC.""]","[""month_2018_06"", ""state_AC""]",comparison,hard,month+state
q016,What is the average review score for orders in the early delivery status group?,4.29,"[""Document Type: Delivery-Status Insight\nDelivery Status: early\n\nTotal Orders in Group: 88,649\nShare of Delivered Orders: 91.89%\nAverage Delivery Days: 10.88\nAverage Difference vs Estimated: -13.71 days early\n\nAverage Review Score: 4.29\nAverage Payment Value: 158.72\n\nTop Product Category: bed_bath_table\nTop Customer State: SP\nTop Seller State: SP\n\nThis document provides aggregate insight into orders with delivery status 'early'.""]","[""delivery_status_early""]",factual,easy,delivery_status
q017,What was the late delivery rate for January 2017?,2.93%,"[""Document Type: Month-Level Temporal Summary\nPurchase Month: 2017-01\nMonth Name: January 2017\n\nTotal Orders: 800\nDelivered Orders: 750\nCanceled Orders: 3\n\nLate Delivery Count: 22\nEarly or On-Time Delivery Count: 728\nLate Delivery Rate: 2.93%\nAverage Delivery Days: 12.65\n\nTotal Payment Value: 138488.04\nAverage Payment Value: 173.11\nAverage Freight Value: 17.67\n\nAverage Review Score: 4.06\nNegative Review Count: 123\n\nMost Popular Product Category: furniture_decor\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises monthly e-commerce fulfilment, revenue, delivery, and review performance.""]","[""month_2017_01""]",factual,easy,month
q018,What is the average review score for orders in the late delivery group?,2.27,"[""Document Type: Delivery-Status Insight\nDelivery Status: late\n\nTotal Orders in Group: 6,535\nShare of Delivered Orders: 6.77%\nAverage Delivery Days: 33.95\nAverage Difference vs Estimated: 10.62 days late\n\nAverage Review Score: 2.27\nAverage Payment Value: 176.14\n\nTop Product Category: bed_bath_table\nTop Customer State: SP\nTop Seller State: SP\n\nThis document provides aggregate insight into orders with delivery status 'late'.""]","[""delivery_status_late""]",factual,easy,delivery_status
q019,"Given the performance metrics for early deliveries, what strategic insight can be drawn regarding the relationship between logistics efficiency in the SP region and overall customer satisfaction for high-volume categories?","The data indicates that delivering orders approximately 13.71 days ahead of the estimate results in a high average review score of 4.29, suggesting that exceeding delivery expectations is a key driver of satisfaction. This logistical success is heavily concentrated in the SP-to-SP corridor and the bed_bath_table category, which together underpin the performance of the 88,649 orders in this group.","[""Document Type: Delivery-Status Insight\nDelivery Status: early\n\nTotal Orders in Group: 88,649\nShare of Delivered Orders: 91.89%\nAverage Delivery Days: 10.88\nAverage Difference vs Estimated: -13.71 days early\n\nAverage Review Score: 4.29\nAverage Payment Value: 158.72\n\nTop Product Category: bed_bath_table\nTop Customer State: SP\nTop Seller State: SP\n\nThis document provides aggregate insight into orders with delivery status 'early'.""]","[""delivery_status_early""]",comparison,hard,delivery_status
q020,What was the total product revenue for the small appliances category?,190648.58,"[""Document Type: Product Category Summary\nProduct Category: small_appliances\n\nTotal Orders: 630\nTotal Items Sold: 679\nTotal Product Revenue: 190648.58\nTotal Freight Value: 16020.25\nAverage Product Price: 280.78\nAverage Freight Value: 23.59\nAverage Payment Value: 331.05\n\nAverage Review Score: 4.17\nPositive Review Count: 502\nNegative Review Count: 87\n\nLate Delivery Count: 29\nEarly or On-Time Delivery Count: 580\nLate Delivery Rate: 4.76%\nAverage Delivery Days: 10.98\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the small_appliances product category.""]","[""category_small_appliances""]",factual,easy,category
q021,How does the delivery performance in SC relate to the overall customer satisfaction reflected in the review metrics?,"Despite an 8.20% late delivery rate and an average wait time of approximately 15 days, customer satisfaction remains high with an average review score of 4.07. This is supported by the fact that positive reviews outnumber negative ones by more than five times, suggesting that logistical delays have not severely compromised the state's overall sentiment.","[""Document Type: Customer-State Summary\nCustomer State: SC\n\nTotal Orders: 3,637\nUnique Customers: 3,534\nTotal Payment Value: 623086.43\nAverage Payment Value: 171.32\n\nAverage Review Score: 4.07\nPositive Review Count: 2,762\nNegative Review Count: 528\n\nLate Delivery Count: 291\nLate Delivery Rate: 8.20%\nAverage Delivery Days: 14.96\n\nTop Product Category: sports_leisure\nTop Payment Type: credit_card\n\nThis document summarises order volume, payment value, delivery performance, and review behaviour for customers in SC.""]","[""state_SC""]",analytical,medium,state
q022,What was the total number of orders placed by customers in RR?,46,"[""Document Type: Customer-State Summary\nCustomer State: RR\n\nTotal Orders: 46\nUnique Customers: 45\nTotal Payment Value: 10064.62\nAverage Payment Value: 218.80\n\nAverage Review Score: 3.61\nPositive Review Count: 28\nNegative Review Count: 11\n\nLate Delivery Count: 5\nLate Delivery Rate: 12.20%\nAverage Delivery Days: 29.39\n\nTop Product Category: sports_leisure\nTop Payment Type: credit_card\n\nThis document summarises order volume, payment value, delivery performance, and review behaviour for customers in RR.""]","[""state_RR""]",factual,easy,state
q023,What strategic insight can be derived from the relationship between delivery timelines and customer satisfaction levels in the state of MT?,"Despite a relatively long average delivery time of 18.06 days and a late delivery rate of 5.98%, the state maintains a high average review score of 4.10 with 698 positive reviews. This suggests that customer satisfaction remains resilient against logistical delays, potentially because the high average payment value of 206.21 and focus on health_beauty products create a consumer base that prioritizes product quality or availability over rapid shipping.","[""Document Type: Customer-State Summary\nCustomer State: MT\n\nTotal Orders: 907\nUnique Customers: 876\nTotal Payment Value: 187029.29\nAverage Payment Value: 206.21\n\nAverage Review Score: 4.10\nPositive Review Count: 698\nNegative Review Count: 124\n\nLate Delivery Count: 53\nLate Delivery Rate: 5.98%\nAverage Delivery Days: 18.06\n\nTop Product Category: health_beauty\nTop Payment Type: credit_card\n\nThis document summarises order volume, payment value, delivery performance, and review behaviour for customers in MT.""]","[""state_MT""]",comparison,hard,state
q024,How does the delivery performance in DF relate to the overall customer satisfaction levels observed in the data?,"Despite an average delivery time of nearly 13 days and a 5.67% late delivery rate, customer satisfaction remains high with an average review score of 4.06 and over five times as many positive reviews as negative ones.","[""Document Type: Customer-State Summary\nCustomer State: DF\n\nTotal Orders: 2,140\nUnique Customers: 2,075\nTotal Payment Value: 355141.08\nAverage Payment Value: 165.95\n\nAverage Review Score: 4.06\nPositive Review Count: 1,640\nNegative Review Count: 321\n\nLate Delivery Count: 118\nLate Delivery Rate: 5.67%\nAverage Delivery Days: 12.97\n\nTop Product Category: health_beauty\nTop Payment Type: credit_card\n\nThis document summarises order volume, payment value, delivery performance, and review behaviour for customers in DF.""]","[""state_DF""]",analytical,medium,state
q025,How does the logistics performance of the fixed_telephony category compare to its customer satisfaction metrics?,"The category demonstrates strong logistics efficiency with a low late delivery rate of 4.72% and an average delivery time of 12.53 days, which correlates with a generally positive customer sentiment reflected in the 3.90 average review score and 156 positive reviews.","[""Document Type: Product Category Summary\nProduct Category: fixed_telephony\n\nTotal Orders: 217\nTotal Items Sold: 264\nTotal Product Revenue: 59583.00\nTotal Freight Value: 4637.81\nAverage Product Price: 225.69\nAverage Freight Value: 17.57\nAverage Payment Value: 296.45\n\nAverage Review Score: 3.90\nPositive Review Count: 156\nNegative Review Count: 40\n\nLate Delivery Count: 10\nEarly or On-Time Delivery Count: 202\nLate Delivery Rate: 4.72%\nAverage Delivery Days: 12.53\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the fixed_telephony product category.""]","[""category_fixed_telephony""]",analytical,medium,category
q026,What is the total product revenue for the agro_industry_and_commerce category?,72530.47,"[""Document Type: Product Category Summary\nProduct Category: agro_industry_and_commerce\n\nTotal Orders: 182\nTotal Items Sold: 212\nTotal Product Revenue: 72530.47\nTotal Freight Value: 5843.60\nAverage Product Price: 342.12\nAverage Freight Value: 27.56\nAverage Payment Value: 430.65\n\nAverage Review Score: 4.02\nPositive Review Count: 142\nNegative Review Count: 27\n\nLate Delivery Count: 7\nEarly or On-Time Delivery Count: 170\nLate Delivery Rate: 3.95%\nAverage Delivery Days: 11.43\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the agro_industry_and_commerce product category.""]","[""category_agro_industry_and_commerce""]",factual,easy,category
q027,How does the delivery performance of the arts_and_craftmanship category relate to its overall customer satisfaction levels?,"The category shows high efficiency with a 95.65% on-time delivery rate and a fast average delivery time of 5.8 days, which correlates with a strong average review score of 4.17 and a high ratio of 18 positive reviews compared to only 3 negative ones.","[""Document Type: Product Category Summary\nProduct Category: arts_and_craftmanship\n\nTotal Orders: 23\nTotal Items Sold: 24\nTotal Product Revenue: 1814.01\nTotal Freight Value: 370.13\nAverage Product Price: 75.58\nAverage Freight Value: 15.42\nAverage Payment Value: 97.46\n\nAverage Review Score: 4.17\nPositive Review Count: 18\nNegative Review Count: 3\n\nLate Delivery Count: 1\nEarly or On-Time Delivery Count: 22\nLate Delivery Rate: 4.35%\nAverage Delivery Days: 5.80\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the arts_and_craftmanship product category.""]","[""category_arts_and_craftmanship""]",analytical,medium,category
q028,What is the average review score for the health_beauty product category?,4.18,"[""Document Type: Product Category Summary\nProduct Category: health_beauty\n\nTotal Orders: 8,836\nTotal Items Sold: 9,670\nTotal Product Revenue: 1258681.34\nTotal Freight Value: 182566.73\nAverage Product Price: 130.16\nAverage Freight Value: 18.88\nAverage Payment Value: 163.98\n\nAverage Review Score: 4.18\nPositive Review Count: 6,974\nNegative Review Count: 1,114\n\nLate Delivery Count: 650\nEarly or On-Time Delivery Count: 7,999\nLate Delivery Rate: 7.52%\nAverage Delivery Days: 12.08\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the health_beauty product category.""]","[""category_health_beauty""]",factual,easy,category
q029,What does the relationship between the top customer and seller states suggest about the impact of non-delivery on customer satisfaction in the SP region?,"Despite both the top customer and seller states being concentrated in São Paulo (SP), the average review score is extremely low at 1.75, indicating that proximity between parties does not prevent significant customer dissatisfaction when orders fail to be delivered.","[""Document Type: Delivery-Status Insight\nDelivery Status: not_delivered\n\nTotal Orders in Group: 2,965\nShare of Delivered Orders: N/A (undelivered)\nAverage Delivery Days: 0.00\nAverage Difference vs Estimated: N/A\n\nAverage Review Score: 1.75\nAverage Payment Value: 197.99\n\nTop Product Category: unknown\nTop Customer State: SP\nTop Seller State: SP\n\nThis document provides aggregate insight into orders with delivery status 'not_delivered'.""]","[""delivery_status_not_delivered""]",analytical,medium,delivery_status
q030,What is the product category for order cf63ae7deea63fed5306a81bae27e4f8?,fashion_bags_accessories,"[""Document Type: Order-Level Summary\nOrder ID: cf63ae7deea63fed5306a81bae27e4f8\nCustomer ID: 7f148c3a12b98bfccd2c119c3c97a9e4\nCustomer City: brasilia\nCustomer State: DF\n\nOrder Status: delivered\nPurchase Month: April 2018\nPurchase Timestamp: 2018-04-15 20:17:11\nApproved At: 2018-04-15 21:15:18\nDelivered to Carrier Date: 2018-04-17 18:18:29\nDelivered to Customer Date: 2018-04-25 18:22:46\nEstimated Delivery Date: 2018-05-08 00:00:00\n\nDelivery Days: 9.92\nEstimated Delivery Days: 22.15\nDelivery Difference Days: -12.23\nDelivery Status: early\nDelivery Bucket: early\n\nTotal Items: 1\nUnique Products: 1\nUnique Sellers: 1\nProduct Categories: fashion_bags_accessories\nSeller States: SP\n\nTotal Product Price: 169.90\nTotal Freight Value: 18.77\nTotal Item Value: 188.67\nPayment Types: credit_card\nTotal Payment Value: 188.67\nMaximum Payment Installments: 1\n\nReview Score: 5\nReview Bucket: positive\nReview Comment Title: No comment title\nReview Comment Message: No comment message\n\nThis document summarises one customer order including delivery, seller, product, payment, and review information.""]","[""order_cf63ae7deea63fed5306a81bae27e4f8""]",factual,easy,order
q031,What was the total product revenue for the signaling_and_security category?,21509.23,"[""Document Type: Product Category Summary\nProduct Category: signaling_and_security\n\nTotal Orders: 140\nTotal Items Sold: 199\nTotal Product Revenue: 21509.23\nTotal Freight Value: 6507.82\nAverage Product Price: 108.09\nAverage Freight Value: 32.70\nAverage Payment Value: 200.84\n\nAverage Review Score: 4.11\nPositive Review Count: 105\nNegative Review Count: 16\n\nLate Delivery Count: 6\nEarly or On-Time Delivery Count: 132\nLate Delivery Rate: 4.35%\nAverage Delivery Days: 10.87\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the signaling_and_security product category.""]","[""category_signaling_and_security""]",factual,easy,category
q032,What is the total product revenue for seller e7d5b006eb624f13074497221eb37807?,3478.93,"[""Document Type: Seller-Level Summary\nSeller ID: e7d5b006eb624f13074497221eb37807\nSeller City: santo andre\nSeller State: SP\n\nTotal Orders: 28\nTotal Items Sold: 63\nTotal Product Revenue: 3478.93\nTotal Freight Value: 741.49\nAverage Freight Value: 11.77\n\nAverage Review Score: 3.93\nPositive Review Count: 21\nNegative Review Count: 6\n\nLate Delivery Count: 2\nLate Delivery Rate: 7.14%\nAverage Delivery Days: 11.17\n\nTop Product Category: computers_accessories\nTop Customer State: SP\n\nThis document summarises seller fulfilment, revenue, freight, delivery, and review performance.""]","[""seller_e7d5b006eb624f13074497221eb37807""]",factual,easy,seller
q033,How does the average payment value per order relate to the individual product pricing and shipping costs for garden tools?,"The average payment value of 169.63 exceeds the average product price of 111.63 because it includes the average freight cost of 22.77 and reflects multiple items per order, given that 4,347 items were sold across 3,518 total orders.","[""Document Type: Product Category Summary\nProduct Category: garden_tools\n\nTotal Orders: 3,518\nTotal Items Sold: 4,347\nTotal Product Revenue: 485256.46\nTotal Freight Value: 98962.75\nAverage Product Price: 111.63\nAverage Freight Value: 22.77\nAverage Payment Value: 169.63\n\nAverage Review Score: 4.14\nPositive Review Count: 2,747\nNegative Review Count: 470\n\nLate Delivery Count: 225\nEarly or On-Time Delivery Count: 3,223\nLate Delivery Rate: 6.53%\nAverage Delivery Days: 13.63\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the garden_tools product category.""]","[""category_garden_tools""]",analytical,medium,category
q034,What strategic insight can be derived from the relationship between logistics efficiency and customer satisfaction within the cine_photo category?,"The cine_photo category demonstrates a high level of customer satisfaction with an average review score of 4.23, likely driven by a robust logistics performance where 90.7% of orders are delivered on-time or early. Although the average freight value of 17.45 represents a significant 18% addition to the average product price, the low late delivery rate of 6.35% suggests that the current delivery speed and reliability justify the shipping costs for consumers.","[""Document Type: Product Category Summary\nProduct Category: cine_photo\n\nTotal Orders: 65\nTotal Items Sold: 72\nTotal Product Revenue: 6933.46\nTotal Freight Value: 1256.20\nAverage Product Price: 96.30\nAverage Freight Value: 17.45\nAverage Payment Value: 129.58\n\nAverage Review Score: 4.23\nPositive Review Count: 51\nNegative Review Count: 9\n\nLate Delivery Count: 4\nEarly or On-Time Delivery Count: 59\nLate Delivery Rate: 6.35%\nAverage Delivery Days: 10.47\n\nTop Customer State: SP\nTop Seller State: SP\n\nThis document summarises sales, delivery, freight, and review performance for the cine_photo product category.""]","[""category_cine_photo""]",comparison,hard,category
